"id"	"Gene"	"Barcode"
"Ncapg2_CCDS26212.1_ex1_12:116412518-116412540:+_5-1"	"Non-targeting"	"Non-targeting-55"
"Nol11_CCDS25566.1_ex11_11:107180981-107181003:-_5-2"	"Non-targeting"	"Non-targeting-56"
"Nsmce1_CCDS21822.1_ex6_7:125486329-125486351:+_5-5"	"Non-targeting"	"Non-targeting-57"
"Nuf2_CCDS15463.1_ex12_1:169525311-169525333:-_5-5"	"Non-targeting"	"Non-targeting-58"
"Nup93_CCDS22540.1_ex3_8:94286566-94286588:+_5-3"	"Non-targeting"	"Non-targeting-59"
"Oxa1l_CCDS27086.1_ex2_14:54363365-54363387:-_5-2"	"Non-targeting"	"Non-targeting-60"
"Pafah1b1_CCDS25035.1_ex6_11:74689104-74689126:+_5-4"	"Non-targeting"	"Non-targeting-61"
"Paxip1_CCDS39039.1_ex15_5:27772051-27772073:+_5-1"	"Non-targeting"	"Non-targeting-62"
"Polr1d_CCDS39397.1_ex1_5:147101293-147101315:-_10-7"	"Non-targeting"	"Non-targeting-63"
"Polr1d_CCDS39397.1_ex2_5:147110658-147110680:-_10-9"	"Non-targeting"	"Non-targeting-64"
"Polr1d_CCDS39397.1_ex1_5:147101278-147101300:+_10-6"	"Non-targeting"	"Non-targeting-65"
"Polr1d_CCDS39397.1_ex2_5:147110712-147110734:-_10-10"	"Non-targeting"	"Non-targeting-66"
"Ppp2r3c_CCDS36450.1_ex8_12:55293781-55293803:-_5-1"	"Non-targeting"	"Non-targeting-67"
"Prmt1_CCDS21222.1_ex5_7:44979395-44979417:-_5-2"	"Non-targeting"	"Non-targeting-68"
"Prpf19_CCDS57135.1_ex4_19:10899227-10899249:+_5-1"	"Non-targeting"	"Non-targeting-69"
"Rfwd3_CCDS22672.1_ex11_8:111297303-111297325:+_5-4"	"Non-targeting"	"Non-targeting-70"
"Rpa2_CCDS18734.1_ex2_4:132770551-132770573:-_5-1"	"Non-targeting"	"Non-targeting-71"
"Rpain_CCDS24969.1_ex1_11:70971901-70971923:+_8-6"	"Non-targeting"	"Non-targeting-72"
"Rpain_CCDS24969.1_ex2_11:70973008-70973030:+_8-8"	"Non-targeting"	"Non-targeting-73"
"Rsl1d1_CCDS49763.1_ex8_16:11203162-11203184:-_5-5"	"Non-targeting"	"Non-targeting-74"
"Rtfdc1_CCDS17132.1_ex2_2:172445383-172445405:-_5-3"	"Non-targeting"	"Non-targeting-75"
"Sbno1_CCDS39280.1_ex29_5:124413261-124413283:+_5-4"	"Non-targeting"	"Non-targeting-76"
"Shq1_CCDS39580.2_ex8_6:100665374-100665396:+_5-3"	"Non-targeting"	"Non-targeting-77"
"Smc3_CCDS38025.1_ex15_19:53628703-53628725:+_5-4"	"Non-targeting"	"Non-targeting-78"
"Snrnp27_CCDS20315.1_ex2_6:86680957-86680979:+_5-1"	"Non-targeting"	"Non-targeting-79"
"Snupn_CCDS23214.1_ex5_9:56978027-56978049:-_5-5"	"Non-targeting"	"Non-targeting-80"
"Srbd1_CCDS50204.1_ex17_17:86136198-86136220:+_5-4"	"Non-targeting"	"Non-targeting-81"
"Srp14_CCDS16577.1_ex2_2:118478965-118478987:+_5-3"	"Non-targeting"	"Non-targeting-82"
"Taf1b_CCDS36419.1_ex5_12:24514807-24514829:-_5-3"	"Non-targeting"	"Non-targeting-83"
"Tardbp_CCDS38967.1_ex3_4:148620697-148620719:-_5-2"	"Non-targeting"	"Non-targeting-84"
"Trappc3_CCDS18647.1_ex3_4:126273997-126274019:+_5-4"	"Non-targeting"	"Non-targeting-85"
"Trmt61a_CCDS26184.1_ex0_12:111678797-111678819:+_5-3"	"Non-targeting"	"Non-targeting-86"
"Tsen34_CCDS20725.1_ex1_7:3695153-3695175:-_5-3"	"Non-targeting"	"Non-targeting-87"
"Tsen54_CCDS25648.1_ex6_11:115820127-115820149:+_5-5"	"Non-targeting"	"Non-targeting-88"
"Txn1_CCDS18207.1_ex3_4:57951804-57951826:+_5-4"	"Non-targeting"	"Non-targeting-89"
"Uqcrc1_CCDS23540.1_ex1_9:108937045-108937067:+_5-1"	"Non-targeting"	"Non-targeting-90"
"Usb1_CCDS22560.1_ex0_8:95332457-95332479:-_5-1"	"Non-targeting"	"Non-targeting-91"
"Vars2_CCDS37602.1_ex28_17:35667102-35667124:+_5-4"	"Non-targeting"	"Non-targeting-92"
